auc_delta	cluster	cluster_top_signature	collection	dataset_id	doi	evidence_note	expected_cluster_label	leading_overlap_genes	mean_metric_background	mean_metric_in_pathway	notes	overlap_marker_genes	overlap_n	p_adj_bh	p_value	panel	pathway_name	pathway_priority_label	pathway_size_in_ranked_genes	ranked_gene_n	reference	reference_marker_genes	significant_fdr_0_05	status	summary_id	support_status	url	value
0.15574353973671384	1	ductal_malignant_context	reactome	pdac_gse154778				ABL1;ADRM1;AKT1;AKT2;CCNA2;CCNB1;CCND1;CCND3;CDC6;CDK1;CDK4;CDK6;CDT1;CKS1B;DBF4;DHFR;E2F3;E2F4;GMNN;HDAC1;MAX;MCM3;MCM4;MCM5;MCM7;MNAT1;MYBL2;MYC;ORC6;PCNA	4.016108137511556	4.680012822151184				5.8011984230072e-05	4.096245271456727e-06	figure4_pathway_top_hits	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	background_significant_pathway	70	3000			True					
0.2099223759703004	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;DAG1;EIF4G1;MAGOH;MAGOHB;NCBP2;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.021389524718615	4.849204830221228				7.604307664848452e-05	5.534835300863812e-06	figure4_pathway_top_hits	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	background_significant_pathway	37	3000			True					
0.3352347351342999	1	ductal_malignant_context	reactome	pdac_gse154778				AK1;AK2;AK4;DCTD;DCTPP1;DTYMK;DUT;NME1;NME2;NME4;RRM1;RRM2;TYMS	4.025262430674422	5.48760461807251				0.00018121794410955384	1.4759729393362671e-05	figure4_pathway_top_hits	REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	background_significant_pathway	13	3000			True					
0.11895137630230401	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;ANKLE2;AURKB;BIRC5;BUB3;CCNB1;CCNB2;CDC16;CDC20;CDCA5;CDCA8;CDK1;CENPA;CENPE;CENPF;CENPH;CENPK;CENPM;CENPN;CENPQ;CENPT;CENPU;CHMP2B;CHMP3;CHMP4A;CHMP4C;CKAP5	4.013241161209349	4.532809621882889				0.00018754737090487762	1.5496871962093172e-05	figure4_pathway_top_hits	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	background_significant_pathway	106	3000			True					
0.13856200698305965	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;AKT1;AKT2;ANAPC15;ANAPC5;ANAPC7;CCNA2;CCND1;CDC16;CDC25B;CDC6;CDCA5;CDK4;CDT1;CKS1B;E2F4;FEN1;GINS2;GMNN;GSK3B;LIG1;MAX;MCM3;MCM4;MCM5;MCM7;MNAT1;MYC;ORC6;PCNA	4.015926847699075	4.651294379620938				0.00026002329891602714	2.280392123826942e-05	figure4_pathway_top_hits	REACTOME_S_PHASE	background_significant_pathway	74	3000			True					
0.20009154420621533	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;CCNB1;CCNB2;CDK1;GTSE1;MAPRE1;PLK1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7	4.022450397790584	4.806637457438877				0.0002607827767524601	2.2919500379371142e-05	figure4_pathway_top_hits	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	background_significant_pathway	35	3000			True					
0.1816381725103835	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;AURKA;AURKB;BUB3;CCNA2;CCNB1;CDC16;CDC20;CDK1;MAD2L1;NEK2;PLK1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1	4.019987268734816	4.849414274806068				0.000289109964589493	2.5789151770893738e-05	figure4_pathway_top_hits	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	background_significant_pathway	42	3000			True					
0.18475506756756754	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;BUB3;CCNA2;CCNB1;CDC16;CDC20;CDK1;MAD2L1;NEK2;PLK1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12	4.020158840595065	4.878189307451248				0.000322895630784248	2.9106085028439255e-05	figure4_pathway_top_hits	REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	background_significant_pathway	40	3000			True					
0.21893626225725826	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;CCND1;CDK4;GSK3B;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.023462862779122	4.8952182957104275				0.00035285923682145596	3.2535940897527675e-05	figure4_pathway_top_hits	REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D	background_significant_pathway	28	3000			True					
0.08343470483005366	1	ductal_malignant_context	reactome	pdac_gse154778				ABL1;ADRM1;AKT1;AKT2;ANAPC15;ANAPC5;ANAPC7;ANKLE2;ARPP19;AURKA;AURKB;BIRC5;BUB3;CCNA2;CCNB1;CCNB2;CCND1;CCND3;CCP110;CDC16;CDC20;CDC25B;CDC6;CDCA5;CDCA8;CDK1;CDK11A;CDK11B;CDK4;CDK6	4.004728202444496	4.397962998180855				0.00035285923682145596	3.2534893744188274e-05	figure4_pathway_top_hits	REACTOME_CELL_CYCLE_MITOTIC	background_significant_pathway	205	3000			True					
0.07999440314880835	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;AGRN;AKT1;AKT2;ANO1;AP1G1;AP1M2;AP1S1;AP1S3;AP2A1;AP2B1;BCL2L1;BECN1;BRD4;BRMS1;CAV1;CBX1;CCNC;CCNK;CHD4;CHMP1A;CHMP2B;CHMP3;CHMP4A;CHMP4C;COMT;CRB3;CSNK2A1;DAXX;DDOST	4.011133842745831	4.294065696303196				0.0004365544184206703	4.230273801034101e-05	figure4_pathway_top_hits	REACTOME_VIRAL_INFECTION_PATHWAYS	low_specificity_housekeeping_or_infection_proxy	217	3000			True					
0.12285592528143752	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;AURKB;BIRC5;BUB3;CDC16;CDC20;CDCA5;CDCA8;CENPA;CENPE;CENPF;CENPH;CENPK;CENPM;CENPN;CENPQ;CENPT;CENPU;CKAP5;DYNC1H1;DYNC1I2;DYNLL2;ITGB3BP;KIF2C;MAD1L1;MAD2L1;MAPRE1	4.015904075535474	4.557116878443751				0.00046544699740684646	4.597654847624436e-05	figure4_pathway_top_hits	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	background_significant_pathway	87	3000			True					
0.18718604738341582	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;AURKA;AURKB;CDC16;CDC20;PLK1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3	4.021270186714476	4.882025195492639				0.0005415142079233977	5.521919528683661e-05	figure4_pathway_top_hits	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	background_significant_pathway	36	3000			True					
0.07398285118154535	1	ductal_malignant_context	reactome	pdac_gse154778				ABL1;ADRM1;AKT1;AKT2;ANAPC15;ANAPC5;ANAPC7;ANKLE2;ARPP19;AURKA;AURKB;BABAM1;BARD1;BIRC5;BRCA2;BUB3;CCNA2;CCNB1;CCNB2;CCND1;CCND3;CCP110;CDC16;CDC20;CDC25B;CDC6;CDCA5;CDCA8;CDK1;CDK11A	4.00166668127789	4.363754167672126				0.0005430041808030263	5.557507578171818e-05	figure4_pathway_top_hits	REACTOME_CELL_CYCLE	background_significant_pathway	248	3000			True					
0.07395385014259792	1	ductal_malignant_context	reactome	pdac_gse154778				ABL1;ADRM1;AGRN;AKT1;AKT2;ANO1;AP1G1;AP1M2;AP1S1;AP1S3;AP2A1;AP2B1;ARPC1A;BAIAP2;BCL2L1;BECN1;BRD4;BRMS1;CAV1;CBX1;CCNC;CCNK;CDH1;CHD4;CHMP1A;CHMP2B;CHMP3;CHMP4A;CHMP4C;COMT	4.010848692324546	4.264937114715576				0.0005862287667613415	6.1016692918170704e-05	figure4_pathway_top_hits	REACTOME_INFECTIOUS_DISEASE	low_specificity_housekeeping_or_infection_proxy	245	3000			True					
0.20448821365150482	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;CCNA2;CCND1;CDK4;CKS1B;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.0230061502337895	4.911947176374238				0.0006788571946954729	7.368628329276682e-05	figure4_pathway_top_hits	REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	background_significant_pathway	29	3000			True					
0.20826325821280411	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;EIF4G1;HNRNPD;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024297548310748	4.835597382651435				0.0008362405384942937	9.532356936451385e-05	figure4_pathway_top_hits	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	background_significant_pathway	27	3000			True					
0.17077702702702702	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;AKT1;ANP32A;EIF4G1;ELAVL1;EXOSC1;EXOSC2;EXOSC4;EXOSC5;EXOSC7;EXOSC8;HNRNPD;KHSRP;MAPKAPK2;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11	4.02343811473331	4.635523021221161				0.0008769482264236688	0.00010128134446019837	figure4_pathway_top_hits	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	background_significant_pathway	40	3000			True					
0.1749218166956893	1	ductal_malignant_context	reactome	pdac_gse154778				ADK;ADSL;AK1;AK2;AK4;ATIC;CDA;DCK;DCTD;DCTPP1;DGUOK;DNPH1;DTYMK;DUT;ENTPD2;ENTPD6;GART;GMPR2;GMPS;HPRT1;IMPDH2;ITPA;NME1;NME2;NME4;NT5C2;NT5E;NUDT1;NUDT15;NUDT16	4.022582873068171	4.734401853461015				0.0008870159485843637	0.00010327697429526864	figure4_pathway_top_hits	REACTOME_METABOLISM_OF_NUCLEOTIDES	background_significant_pathway	38	3000			True					
0.18483112214153674	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;CCND3;CDK1;MAPKAPK5;MYC;NCOA3;PAK1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7	4.024053144181743	4.710062474915476				0.0010612054074491592	0.00012754393629435906	figure4_pathway_top_hits	REACTOME_MAPK6_MAPK4_SIGNALING	background_significant_pathway	33	3000			True					
0.15365909893292795	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;CDC16;CDC6;CDT1;DBF4;GMNN;KPNA1;KPNA6;KPNB1;MCM3;MCM4;MCM5;MCM7;ORC6;POLE3;POLE4;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3	4.020021322659222	4.759037758441681				0.0011929197932141742	0.00014740680261688763	figure4_pathway_top_hits	REACTOME_DNA_REPLICATION_PRE_INITIATION	background_significant_pathway	47	3000			True					
0.20505923128653458	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;AURKA;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024547147285882	4.83825093966264				0.001256231637375635	0.00015570194942120545	figure4_pathway_top_hits	REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS	background_significant_pathway	26	3000			True					
0.20503336609590816	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;CDC20;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.02454762380237	4.838196433507479				0.0012565299421178656	0.0001559748904675886	figure4_pathway_top_hits	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	background_significant_pathway	26	3000			True					
0.20412808442398223	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;NQO1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024590791354022	4.833258729714614				0.0013119826993503061	0.0001658149026596725	figure4_pathway_top_hits	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	background_significant_pathway	26	3000			True					
0.14271949087975622	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;CCNA2;CDC16;CDC6;CDT1;FEN1;GINS2;GMNN;LIG1;MCM3;MCM4;MCM5;MCM7;ORC6;PCNA;POLD2;POLE3;POLE4;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1	4.019230846554536	4.719328974777797				0.0014157793350586655	0.00018079435640185775	figure4_pathway_top_hits	REACTOME_SYNTHESIS_OF_DNA	background_significant_pathway	53	3000			True					
0.14574443806665327	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;AKT1;AKT2;CHD4;CSNK2A1;EZH2;GATAD2A;HDAC1;HDAC2;HDAC3;MAF1;MAPK3;MBD3;MECOM;MLST8;MTOR;PML;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5	4.0228886423333945	4.556190957828444				0.001701331512961668	0.00022876119498226372	figure4_pathway_top_hits	REACTOME_PTEN_REGULATION	background_significant_pathway	49	3000			True					
0.1317176870748299	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;CCNA2;CDC16;CDC6;CDT1;DBF4;FEN1;GINS2;GMNN;KPNA1;KPNA6;KPNB1;LIG1;MCM3;MCM4;MCM5;MCM7;MGME1;ORC6;PCNA;POLD2;POLE3;POLE4;PSMA3;PSMA4;PSMA5;PSMA6	4.0188181962285725	4.6578707257906595				0.0017230456371395454	0.00023422580348093626	figure4_pathway_top_hits	REACTOME_DNA_REPLICATION	background_significant_pathway	60	3000			True					
0.19683410066732188	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;TP53	4.02483559817216	4.80525659597837				0.0019416210107801289	0.000269092264029246	figure4_pathway_top_hits	REACTOME_STABILIZATION_OF_P53	manuscript_interpretable_candidate	26	3000			True					
0.19683410066732188	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;TP53	4.02483559817216	4.80525659597837				0.0019416210107801289	0.000269092264029246	figure4_pathway_interpretable_hits	REACTOME_STABILIZATION_OF_P53	manuscript_interpretable_candidate	26	3000			True					
0.19930756302521013	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024873739691341	4.831934595108033				0.0020742221878505213	0.000294091596587257	figure4_pathway_top_hits	REACTOME_DEGRADATION_OF_AXIN	background_significant_pathway	25	3000			True					
0.19930756302521013	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024873739691341	4.831934595108033				0.0020742221878505213	0.000294091596587257	figure4_pathway_top_hits	REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS	background_significant_pathway	25	3000			True					
0.19930756302521013	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024873739691341	4.831934595108033				0.0020742221878505213	0.000294091596587257	figure4_pathway_top_hits	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	background_significant_pathway	25	3000			True					
0.19930756302521013	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024873739691341	4.831934595108033				0.0020742221878505213	0.000294091596587257	figure4_pathway_top_hits	REACTOME_HEDGEHOG_ON_STATE	background_significant_pathway	25	3000			True					
0.19930756302521013	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024873739691341	4.831934595108033				0.0020742221878505213	0.000294091596587257	figure4_pathway_top_hits	REACTOME_REGULATION_OF_APOPTOSIS	manuscript_interpretable_candidate	25	3000			True					
0.19930756302521013	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024873739691341	4.831934595108033				0.0020742221878505213	0.000294091596587257	figure4_pathway_interpretable_hits	REACTOME_REGULATION_OF_APOPTOSIS	manuscript_interpretable_candidate	25	3000			True					
0.19930756302521013	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024873739691341	4.831934595108033				0.0020742221878505213	0.000294091596587257	figure4_pathway_top_hits	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	background_significant_pathway	25	3000			True					
0.14943028047730345	1	ductal_malignant_context	reactome	pdac_gse154778				ABL1;ADRM1;DAG1;EIF4G1;ENAH;GPC1;MAGOH;MAGOHB;NCBP2;PAK1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2	4.022658448741949	4.6322583176872945				0.002280518888889537	0.0003275429882882108	figure4_pathway_top_hits	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	background_significant_pathway	44	3000			True					
0.1717631318237992	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;CTBP1;CTBP2;GSK3B;HDAC1;MYC;PPP2CA;PPP2CB;PPP2R1A;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3	4.024496504703595	4.670200333450779				0.002333575273818925	0.00033875186603981764	figure4_pathway_top_hits	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	background_significant_pathway	33	3000			True					
0.15391891891891896	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;ANAPC15;ANAPC5;ANAPC7;CCNA2;CDC16;CDC6;CDT1;GMNN;MCM3;MCM4;MCM5;MCM7;ORC6;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11	4.0223844590219295	4.713493543863296				0.0027027322619189364	0.00040553672812642825	figure4_pathway_top_hits	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	background_significant_pathway	40	3000			True					
0.1893849257669029	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;SCRIB	4.0249921004886025	4.787355138705327				0.002841344735738597	0.0004342163250452462	figure4_pathway_top_hits	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	background_significant_pathway	26	3000			True					
0.18928793130205368	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;LFNG;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8	4.024994324018431	4.787100801101098				0.002850986769030984	0.00043688360629657897	figure4_pathway_top_hits	REACTOME_SOMITOGENESIS	background_significant_pathway	26	3000			True					
0.17447250280583615	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;AMD1;NQO1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;SMOX;SMS;SRM	4.024629689547349	4.721585416793824				0.0031441287270575985	0.0004953847891082301	figure4_pathway_top_hits	REACTOME_METABOLISM_OF_POLYAMINES	background_significant_pathway	30	3000			True					
0.17716663378172914	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;DERL2;ERLEC1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;SYVN1;VCP	4.024844071312169	4.723655330723729				0.003183089510584986	0.0005039144520982428	figure4_pathway_top_hits	REACTOME_HEDGEHOG_LIGAND_BIOGENESIS	background_significant_pathway	29	3000			True					
0.17716663378172914	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;DERL2;ERLEC1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;SYVN1;VCP	4.024844071312169	4.723655330723729				0.003183089510584986	0.0005039144520982428	figure4_pathway_top_hits	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	background_significant_pathway	29	3000			True					
0.1682477678571429	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;FUZ;GSK3B;IFT172;IFT57;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;TUBA1C	4.023945705909934	4.741465166211128				0.0032783109190369824	0.0005214515208308589	figure4_pathway_top_hits	REACTOME_HEDGEHOG_OFF_STATE	background_significant_pathway	32	3000			True					
0.18250675835606878	1	ductal_malignant_context	reactome	pdac_gse154778				ADRM1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB2;PSMB4;PSMB5;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;RELA;UBE2M	4.024905974160049	4.768602936356156				0.0033650344809189082	0.0005384055169470253	figure4_pathway_top_hits	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	background_significant_pathway	27	3000			True					
